id,title,category,price_inr,price_usd,original_price_usd,sizes,materials,description
"stoffa_6914364276895","Bridal Border High Wedge - Rose Gold","Bridal",4000,80,60,"36 (US 5.5);37 (US 6.5);38 (US 7.5);39 (US 8.5);40 (US 9.5);41 (US 10.5)","Handcrafted vegan leather upper, metallic cord braiding, signature dual-density memory foam footbed, anti-slip durable rubber sole.","Step out in style in our traditional and elegant 3.5"" bridal wedges. Keeping in mind the colour palette of classic bridal wear, these wedges come in Light Gold and Rose Gold. Extra care taken to provide extra comfort."
"stoffa_7533698777247","Classic High K Wedge Gold","Shoes",4300,86,65,"36 (US 5.5);37 (US 6.5);38 (US 7.5);39 (US 8.5);40 (US 9.5);41 (US 10.5)","Handcrafted vegan leather upper, metallic cord braiding, signature dual-density memory foam footbed, anti-slip durable rubber sole.","Our signature hand crafted 3.5 inch high kolhapuri inspired wedge. Metallic shades intermingle to create a classic and versatile pair suitable for any occasion. Comfortable and light weight, this pair comes with a rubber non skid sole. This style is also available in 4.5 inches, 2 1/4 inches, and as flats. Size Chart"
"stoffa_7534162935967","Classic High K Wedge Champagne","Shoes",4300,86,65,"36 (US 5.5);37 (US 6.5);38 (US 7.5);39 (US 8.5);40 (US 9.5);41 (US 10.5)","Handcrafted vegan leather upper, metallic cord braiding, signature dual-density memory foam footbed, anti-slip durable rubber sole.","Our signature hand crafted 3.5 inch high kolhapuri inspired wedge. Metallic shades intermingle to create a classic and versatile pair suitable for any occasion. Comfortable and light weight, this pair comes with a rubber non skid sole. This style is also available in 4.5 inches, 2 1/4 inches, and as flats. Size Chart"
"stoffa_7534164181151","Classic High K Wedge Slate","Shoes",4300,86,65,"36 (US 5.5);37 (US 6.5);38 (US 7.5);39 (US 8.5);40 (US 9.5);41 (US 10.5)","Handcrafted vegan leather upper, metallic cord braiding, signature dual-density memory foam footbed, anti-slip durable rubber sole.","Our signature hand crafted 3.5 inch high kolhapuri inspired wedge. In a range of subtle and elegant matte shades, it is a perfect match for any attire. Comfortable and light weight, this pair comes with a rubber non skid sole. comes with a rubber non skid sole and as a flat. Size Chart"
"stoffa_7534773993631","Classic High K Wedge Rose Gold","Shoes",4300,86,65,"36 (US 5.5);37 (US 6.5);38 (US 7.5);39 (US 8.5);40 (US 9.5);41 (US 10.5)","Handcrafted vegan leather upper, metallic cord braiding, signature dual-density memory foam footbed, anti-slip durable rubber sole.","Our signature hand crafted 3.5 inch high kolhapuri inspired wedge. Metallic shades intermingle to create a classic and versatile pair suitable for any occasion. Comfortable and light weight, this pair comes with a rubber non skid sole. This style is also available in 4.5 inches, 2 1/4 inches, and as flats. Size Chart"
"stoffa_7534774714527","Classic High K Wedge Antique gold","Shoes",4300,86,65,"36 (US 5.5);37 (US 6.5);38 (US 7.5);39 (US 8.5);40 (US 9.5);41 (US 10.5)","Handcrafted vegan leather upper, metallic cord braiding, signature dual-density memory foam footbed, anti-slip durable rubber sole.","Our signature hand crafted 3.5 inch high kolhapuri inspired wedge. Metallic shades intermingle to create a classic and versatile pair suitable for any occasion. Comfortable and light weight, this pair comes with a rubber non skid sole. This style is also available in 4.5 inches, 2 1/4 inches, and as flats. Size Chart"
"stoffa_7534773862559","Classic High K Wedge Pewter","Shoes",4300,86,65,"36 (US 5.5);37 (US 6.5);38 (US 7.5);39 (US 8.5);40 (US 9.5);41 (US 10.5)","Handcrafted vegan leather upper, metallic cord braiding, signature dual-density memory foam footbed, anti-slip durable rubber sole.","Our signature hand crafted 3.5 inch high kolhapuri inspired wedge. Metallic shades intermingle to create a classic and versatile pair suitable for any occasion. Comfortable and light weight, this pair comes with a rubber non skid sole. This style is also available in 2 1/4 inches, and as flats. Size Chart"
"stoffa_7534774354079","Classic High K Wedge Camel","Shoes",4300,86,65,"36 (US 5.5);37 (US 6.5);38 (US 7.5);39 (US 8.5);40 (US 9.5);41 (US 10.5)","Handcrafted vegan leather upper, metallic cord braiding, signature dual-density memory foam footbed, anti-slip durable rubber sole.","Our signature hand crafted 3.5 inch high kolhapuri inspired wedge. A neutral shade expressed in a traditional   format creates a classic and versatile   pair suitable for any occasion. Comfortable and light weight, this pair comes with a rubber non skid sole. This style is also available in     2 1/4 inches, and as flats. Size Chart"
"stoffa_7534774681759","Classic High K Wedge Taupe","Shoes",4300,86,65,"36 (US 5.5);37 (US 6.5);38 (US 7.5);39 (US 8.5);40 (US 9.5);41 (US 10.5)","Handcrafted vegan leather upper, metallic cord braiding, signature dual-density memory foam footbed, anti-slip durable rubber sole.","Our signature hand crafted 3.5 inch high kolhapuri inspired wedge. A neutral shade expressed in a traditional format creates a classic and versatile pair suitable for any occasion. Comfortable and light weight, this pair comes with a rubber non skid sole. This style is also available in   2 1/4 inches, and as flats. Size Chart"
"stoffa_7534776582303","Classic High K Wedge Olive","Shoes",4000,80,60,"36 (US 5.5);37 (US 6.5);38 (US 7.5);39 (US 8.5);40 (US 9.5);41 (US 10.5)","Handcrafted vegan leather upper, metallic cord braiding, signature dual-density memory foam footbed, anti-slip durable rubber sole.","Our signature hand crafted 3.5 inch high kolhapuri inspired wedge. In a range of subtle and elegant matte shades, it is a perfect match for any attire. Comfortable and light weight, this pair comes with a rubber non skid sole. This style is also available in 2 1/4 inches, and as flats. Size Chart"
